Nom_arrond,Invent,No_Civiq,Rue,Rue_De,Rue_a,Nom_parc,Sigle,Injections,x,y,longitude,latitude
Ahuntsic-Cartierville,R,10265,Rue Saint-Hubert,SAURIOL E RUE,FLEURY E RUE,,FRPESU,2015,292338.75000000000,5046268.50000000000,-73.6596113879546,45.5562169952192
Ahuntsic-Cartierville,R,9451,Rue Foucher,CHABANEL E RUE,LOUVAIN E RUE DE,,FRAMKL,2015,293090.71899999998,5045715.50000000000,-73.6499665032798,45.5512539761596
Ahuntsic-Cartierville,R,10435,Rue Taché,TACHÉ PLACE,PRIEUR E RUE,,FRPE,2015,292521.68199999997,5047302.00000000000,-73.6572942384626,45.5655199930171
Ahuntsic-Cartierville,R,1475,Rue Prieur Est,OLYMPIA BOULE,HAMEL AVENU,,FRPE,2015,292325.89710000000,5047059.65600000040,-73.6597961939526,45.5633358284252
Ahuntsic-Cartierville,R,9905,Avenue du Sacré-Coeur,SAUVÉ E RUE,SAURIOL E RUE,,FRPE,2015,292839.26500000001,5046594.00000000000,-73.6532084656865,45.5591547231261
Ahuntsic-Cartierville,R,9345,Avenue Millen,CHABANEL E RUE,LOUVAIN E RUE DE,,FRPE,2015,293251.93800000002,5045722.50000000000,-73.6479018646843,45.5513196564192
Ahuntsic-Cartierville,R,10125,Rue Parthenais,SAURIOL E RUE,FLEURY E RUE,,FRAM,2015,293277.31300000002,5047976.50000000000,-73.6476299844672,45.5716022627822
Ahuntsic-Cartierville,R,9905,Avenue Papineau,SAUVÉ E RUE,SAURIOL E RUE,,FRPE,2015,293163.53200000001,5047406.44900000000,-73.6490741850349,45.5664708823277
Ahuntsic-Cartierville,R,9131,Rue Basile-Routhier,LEGENDRE E RUE,CHABANEL E RUE,,FRPE,2015,293449.03100000002,5045493.00000000000,-73.6453722795055,45.5492577808012
Ahuntsic-Cartierville,R,9147,Rue Basile-Routhier,LEGENDRE E RUE,CHABANEL E RUE,,FRPE,2015,293438.25000000000,5045497.00000000000,-73.6455104445954,45.5492935983228
Ahuntsic-Cartierville,R,9342,Avenue Joseph-Melançon,JOSEPH-MELANÇON AVENU (NORD),LIMITE,,FRAM,2015,293365.12500000000,5046119.00000000000,-73.6464614935144,45.5548893586074
